,action_id,start,end,WaitTriggerFile_start,WaitTriggerFile_end,CreatePhil_start,CreatePhil_end,DialsStills_start,DialsStills_end,SsxGatherData_start,SsxGatherData_end,SsxPlot_start,SsxPlot_end,PublishGatherMetadata_start,PublishGatherMetadata_end,PublishTransfer_start,PublishTransfer_end,PublishIngest_start,PublishIngest_end,TransferProc_start,TransferProc_end,PublishTransfer_bytes_transferred,TransferProc_bytes_transferred,total_bytes_transferred,PublishTransfer_action_time,PublishIngest_action_time,TransferProc_action_time,funcx_task_ids,flow_runtime,WaitTriggerFile_runtime,CreatePhil_runtime,DialsStills_runtime,SsxGatherData_runtime,SsxPlot_runtime,PublishGatherMetadata_runtime,PublishTransfer_runtime,PublishIngest_runtime,TransferProc_runtime,total_funcx_time
10,4f857857-5d89-4392-adeb-c6749dc745ca,1648525554.0912519,1648525832.219,1648525554.3379998,1648525577.582,1648525577.589,1648525597.6940002,1648525597.7020001,1648525616.211,1648525616.225,1648525637.798,1648525637.8070002,1648525657.535,1648525657.543,1648525667.1030002,1648525667.121,1648525677.745,1648525677.76,1648525689.452,1648525689.4620001,1648525832.219,4936898,48191419,53128317,2.0,1.0,86.0,"['392ad244-1c89-44ed-81be-3e350a2db91d', 'aa82bd99-8662-4dce-84ee-5dcf76acae1a', '181a51e9-8f11-4a74-9b39-fb5f4f1ffdd9', '2eb66d9a-e8dc-4dfa-b2e5-aa91d5869929', 'd9e37efd-b52a-4290-86cf-c59b4d62fd34', 'faac443b-e75f-4269-ba99-1f2b69906ccd']",278.1277482509613,23.24400019645691,20.105000257492065,18.508999824523926,21.573000192642212,19.727999925613403,9.56000018119812,10.623999834060669,11.691999912261963,142.75699996948242,112.71900057792664
11,5da8a18a-fdd5-4ced-a3fd-137badd2c65f,1648525605.522364,1648525997.164,1648525606.035,1648525628.82,1648525628.831,1648525647.952,1648525647.961,1648525806.554,1648525806.569,1648525815.316,1648525815.332,1648525823.337,1648525823.346,1648525834.212,1648525834.225,1648525846.719,1648525846.7299998,1648525858.0460002,1648525858.0609999,1648525997.164,27328003,25353908,52681911,3.0,0.0,74.0,"['245c9e5e-e434-4195-b37b-8590bfd79910', '7cd34dfe-456c-4202-a4e9-533214c3bb16', 'e18f0ed4-06c6-425f-a855-19038e476331', '0fc79d1e-15f9-4e5f-8dd4-f254d700aae3', 'a6c47c87-48d5-4c4a-aec4-c12fbfd3a917', '8b58b26c-113e-4128-b46d-7011354f508d']",391.64163613319397,22.78499984741211,19.120999813079834,158.59299993515015,8.746999979019165,8.004999876022339,10.865999937057495,12.49400019645691,11.31600046157837,139.10300016403198,228.1169993877411
12,6859616b-40b6-478c-a01a-460af5d39ef1,1648525657.2985961,1648526026.9889998,1648525657.731,1648525677.7459998,1648525677.755,1648525699.299,1648525699.3070002,1648525707.2380002,1648525707.246,1648525714.346,1648525714.355,1648525727.092,1648525727.1,1648525733.875,1648525733.885,1648525748.19,1648525748.2,1648525759.174,1648525759.185,1648526026.9889998,8385352,12272529,20657881,3.0,1.0,176.0,"['f3532833-10a2-4af9-8fe2-a286889f7b88', '86a610f5-a983-4395-94cb-a4cd59692f69', 'ed28440f-7653-4f3e-92e3-f835b23b3035', '02416b0d-2d69-4ddd-aa39-c4c317ec791b', '6e39d0dd-f79e-4eb4-8368-3f6e03d88141', '71525610-6b1a-41b1-8118-baa516d47679']",369.6904036998749,20.014999866485596,21.543999910354614,7.930999994277954,7.099999904632568,12.736999988555908,6.775000095367432,14.305000066757202,10.973999977111816,267.80399990081787,76.10199975967407
13,9000901f-5605-4269-9377-eb0fba176717,1648525709.648331,1648525933.501,1648525709.964,1648525727.062,1648525727.0700002,1648525733.823,1648525733.853,1648525748.124,1648525748.134,1648525772.44,1648525772.4529998,1648525780.8009999,1648525780.811,1648525788.9889998,1648525788.9980001,1648525792.759,1648525792.772,1648525797.442,1648525797.452,1648525933.501,16754669,23292983,40047652,2.0,1.0,90.0,"['833f6833-2a98-483a-abb5-c86d3d66bc74', '517da4ae-74c7-4fe2-b28c-acceecb9cf8a', '4082b104-1099-4f77-ad27-bc471fd19100', '84790737-8d39-49d8-8b17-8cbd4f2e1648', 'f535b76a-43c4-44c5-ae23-74489f7f0f5b', 'a01b709e-e4de-4b0e-af5b-814efeaf81f3']",223.8526690006256,17.098000049591064,6.752999782562256,14.271000146865845,24.305999994277954,8.348000049591064,8.17799973487854,3.760999917984009,4.669999837875366,136.04900002479553,78.95399975776672
14,32ea07ca-18b3-4b0c-873b-ff7c9f32afa6,1648525760.86063,1648526094.6460001,1648525761.304,1648525770.131,1648525770.14,1648525778.041,1648525778.051,1648525922.9420002,1648525922.9580002,1648525931.268,1648525931.275,1648525939.676,1648525939.687,1648525947.064,1648525947.074,1648525951.279,1648525951.289,1648525955.367,1648525955.376,1648526094.6460001,4215169,23894482,28109651,2.0,1.0,91.0,"['b9c7b59a-b92e-4bae-b0e5-2ef08a4747b5', '53fa2bd8-3303-4d10-ad3d-15bbaf3a0ce0', '7be93ada-120b-44fb-bb14-808de71405b8', 'a330b3c6-322f-474d-9da9-283753f0079a', '34354ec0-f660-4994-b51d-9d4361a418b6', '646b3787-e9e0-45f0-8595-0c47ee09d353']",333.78537011146545,8.827000141143799,7.9009997844696045,144.89100003242493,8.309999704360962,8.401000022888184,7.376999855041504,4.205000162124634,4.078000068664551,139.2700002193451,185.70699954032898
15,da29ac92-d3c3-40e9-8aae-8558464f4a45,1648525812.623659,1648526193.091,1648525812.94,1648525838.134,1648525838.1430001,1648525845.972,1648525845.981,1648525998.949,1648525998.963,1648526013.8979998,1648526013.906,1648526023.7649999,1648526023.775,1648526034.887,1648526034.8979998,1648526041.109,1648526041.12,1648526049.1,1648526049.119,1648526193.091,20930826,19596725,40527551,2.0,1.0,95.0,"['ca72331c-978f-493f-aedf-79a0e146504a', 'ba224eea-2744-45b4-b156-0a6b382a394f', 'ea124d9a-1ecb-4fef-ac8f-7c93906445a6', '0c06b081-d3ba-48f2-8fdb-2a61cb632124', '7bcaf4a6-2def-4ba0-8bdc-9090d4e718d7', 'd38f2f24-4f71-4e3c-9017-6d8f26180cf4']",380.4673411846161,25.194000005722046,7.828999757766724,152.96799993515015,14.934999704360962,9.858999967575073,11.111999988555908,6.211000204086304,7.980000019073486,143.9720001220703,221.89699935913086
16,c49131dc-62e1-4257-be22-83d15b2ceece,1648525865.661742,1648526209.2700002,1648525865.929,1648525877.255,1648525877.263,1648525885.721,1648525885.732,1648525893.833,1648525893.8430002,1648525901.688,1648525901.6990001,1648525908.683,1648525908.692,1648525919.613,1648525919.638,1648525928.5830002,1648525928.598,1648525932.532,1648525932.5500002,1648526209.2700002,27328109,22252428,49580537,3.0,0.0,169.0,"['7d2a5451-f1e1-402a-b13d-7c127e4270ec', 'b449edf0-d010-4f86-8299-5e03b594c42a', '52202816-af03-433f-8db8-3146dc4fcc58', '590df7a5-e071-48d2-b545-1327c830ea4a', 'a8ecb0ad-bcdf-4db5-b2cc-cf1f9ce99b0b', '0b783430-3946-479b-9577-8bf512d8074f']",343.6082582473755,11.326000213623047,8.45799994468689,8.10099983215332,7.84499979019165,6.983999967575073,10.921000003814697,8.945000171661377,3.934000015258789,276.72000002861023,53.63499975204468
17,974ce18d-c25a-4d25-a142-19049f0ca854,1648525916.912412,1648527161.754,1648525917.4099998,1648525929.192,1648525929.201,1648525936.642,1648525936.652,1648526084.1299999,1648526084.144,1648526094.073,1648526094.084,1648526101.241,1648526101.2510002,1648526110.687,1648526110.701,1648526119.277,1648526119.288,1648526123.503,1648526123.513,1648527161.754,35967009,17445378,53412387,3.0,0.0,802.0,"['392a24dc-d026-41a3-9f97-1abd341e5509', 'd72ab240-be0d-4665-a91d-f5b9bdd0ccc0', '0cca0448-2d82-44d2-8c60-08fb43578ca6', 'f3548c52-2762-42d9-94d1-22b1816b9702', '70a66fa9-f9d2-4b5e-a0c9-964edb203762', 'fcb36dfc-aa84-41c7-a6f5-6bb9870b5a0f']",1244.8415880203247,11.782000064849854,7.440999984741211,147.4779999256134,9.928999900817871,7.156999826431274,9.435999870300293,8.575999975204468,4.2149999141693115,1038.2409999370575,193.2229995727539
18,8d96f69b-a2f0-4995-a325-0ca5b1435898,1648525968.0799842,1648526266.4190001,1648525968.6579998,1648525979.152,1648525979.161,1648525999.427,1648525999.437,1648526147.893,1648526147.907,1648526161.331,1648526161.3409998,1648526174.527,1648526174.537,1648526181.596,1648526181.607,1648526185.6579998,1648526185.667,1648526190.36,1648526190.371,1648526266.4190001,8384143,12401413,20785556,3.0,0.0,40.0,"['ff5dcdf5-67f6-4c8f-89f5-3cf624900926', '5d8847e9-1b7e-446d-9dc0-682cfdccec19', '149e2ab3-095c-4a29-9298-c2b8f638ce55', '270ae5b8-83b6-46f6-86fe-64e38758424c', '407f1d06-ca8f-4aa7-a897-f8ec619fbfe5', '63463ecc-6960-4839-a784-f2338f3a39eb']",298.33901596069336,10.49400019645691,20.266000032424927,148.4559998512268,13.424000024795532,13.186000108718872,7.059000015258789,4.050999641418457,4.692999839782715,76.04800009727478,212.88500022888184
19,e6af9fef-f4b7-48a9-9a99-722959dc9f68,1648526019.8272262,1648526173.461,1648526020.122,1648526026.824,1648526026.8339999,1648526035.668,1648526035.676,1648526055.96,1648526055.9689999,1648526072.761,1648526072.7710001,1648526083.2,1648526083.216,1648526092.092,1648526092.1030002,1648526099.532,1648526099.541,1648526104.095,1648526104.106,1648526173.461,35967010,16031236,51998246,2.0,0.0,44.0,"['fc7ef270-74e6-4fea-a5d7-a66975ff27d7', '3b99dc0a-1b98-4f5c-b187-52328fc0db82', '2446ea04-25ae-4025-9b2d-086f04d76604', '04958aa4-0596-4f94-953a-a9d7aaf1e97d', '6343dcec-5f19-48fa-aa0b-ab5d280293fb', 'cf1c8bcc-7a93-4d69-8025-c5c30cfa314f']",153.63377380371094,6.70199990272522,8.83400011062622,20.283999919891357,16.79200005531311,10.428999900817871,8.875999927520752,7.428999900817871,4.55400013923645,69.35500001907349,71.91699981689453
