,action_id,start,end,TransferData_start,TransferData_end,TrainModel_start,TrainModel_end,TransferModel_start,TransferModel_end,TransferDataRes_bytes_transferred,TransferModelRes_bytes_transferred,total_bytes_transferred,funcx_task_ids,flow_runtime,TransferData_runtime,TrainModel_runtime,TransferModel_runtime,total_funcx_time
37,b2798599-0247-4d82-833d-4a73b2b6a05e,1647982292.390879,1647982516.66,1647982292.7,1647982360.8179998,1647982360.832,1647982509.508,1647982509.527,1647982516.66,24160587990,4118484,24164706474,[],224.26912117004395,68.117999792099,148.67599987983704,7.133000135421753,148.67599987983704
38,c085e82f-e88e-4cb2-b23c-51008cf98d95,1647982518.803206,1647982749.816,1647982519.499,1647982589.5830002,1647982589.597,1647982743.4689999,1647982743.4950001,1647982749.816,24160587990,4118484,24164706474,[],231.01279401779175,70.08400011062622,153.87199997901917,6.32099986076355,153.87199997901917
39,d72610c5-f4e2-4c45-ab3c-859e1197d66d,1647982755.3571122,1647983052.763,1647982755.686,1647982824.6460001,1647982824.6620002,1647983007.552,1647983007.584,1647983052.763,24160587990,4118484,24164706474,[],297.40588784217834,68.96000003814697,182.8899998664856,45.17899990081787,182.8899998664856
40,2fd08c79-4681-4a05-8fb8-eab813b158bd,1647983057.5356429,1647983422.609,1647983057.738,1647983215.3969998,1647983215.411,1647983386.272,1647983386.2979999,1647983422.609,24160587990,4118483,24164706473,[],365.0733571052551,157.65899991989136,170.86100006103516,36.31100010871887,170.86100006103516
41,08783d34-1822-4dfa-8dfc-2a67c5403c73,1647983427.666611,1647983720.782,1647983428.1299999,1647983562.666,1647983562.732,1647983715.5660002,1647983715.589,1647983720.782,24160587990,4118484,24164706474,[],293.11538910865784,134.53600001335144,152.83400011062622,5.193000078201294,152.83400011062622
42,7557bef4-d560-4d15-a298-c68ab4fd4b49,1647983724.6692102,1647983983.6,1647983724.9910002,1647983806.278,1647983806.292,1647983977.333,1647983977.3630002,1647983983.6,24160587990,4118484,24164706474,[],258.9307897090912,81.28699994087219,171.04099988937378,6.236999750137329,171.04099988937378
43,ec91d510-4d1b-4379-8424-63c711666bf3,1647983985.7391932,1647984267.0819998,1647983985.98,1647984073.064,1647984073.078,1647984258.4499998,1647984258.499,1647984267.0819998,24160587990,4118484,24164706474,[],281.3428065776825,87.08399987220764,185.3719997406006,8.58299970626831,185.3719997406006
44,c0324100-3edc-415e-a2da-b97fa8da00fc,1647984272.089301,1647984634.2089999,1647984272.284,1647984436.811,1647984436.8270001,1647984607.829,1647984607.8569999,1647984634.2089999,24160587990,4118483,24164706473,[],362.1196987628937,164.52700018882751,171.0019998550415,26.35199999809265,171.0019998550415
45,e18c1ef7-5c96-4079-8b75-4566bc6c0eef,1647984636.020594,1647984903.396,1647984636.34,1647984724.579,1647984724.593,1647984896.211,1647984896.234,1647984903.396,24160587990,4118484,24164706474,[],267.3754060268402,88.23900008201599,171.61800003051758,7.161999940872192,171.61800003051758
46,4fcc09f5-102b-4b7a-b562-e3a648ffa83a,1647984908.552254,1647985147.901,1647984909.185,1647984981.15,1647984981.18,1647985140.8569999,1647985140.88,1647985147.901,24160587990,4118483,24164706473,[],239.34874606132507,71.96500015258789,159.6769998073578,7.020999908447266,159.6769998073578
