,action_id,start,end,TransferOut_start,TransferOut_end,TransferData_bytes_transferred,total_bytes_transferred,TransferData_action_time,funcx_task_ids,flow_runtime,TransferOut_runtime,total_funcx_time
62,7f3a8fef-d30d-4c6a-9ae2-8dbbddba03ed,1648530920.403144,1648531440.247,1648530920.7180002,1648531440.247,274108328,274108328,295.0,[],519.8438560962677,519.5289998054504,0
63,518a9c3c-f140-47f0-bccd-e37bd70c0782,1648530963.534292,1648531490.034,1648530964.737,1648531490.034,0,0,483.0,[],526.4997079372406,525.2969999313354,0
64,4865fb03-44f1-49bd-9b36-981d52fb66a7,1648531007.752231,1648531527.467,1648531008.016,1648531527.467,0,0,384.0,[],519.7147691249847,519.4509999752045,0
65,b2840573-730b-4838-91d7-cf97d63fc165,1648531052.34207,1648531316.6230001,1648531052.612,1648531316.6230001,118364962,118364962,139.0,[],264.28093004226685,264.0110001564026,0
66,e24186e2-2d1a-49ce-a5c8-54b0e3c27485,1648531097.2313228,1648532132.712,1648531097.521,1648532132.712,0,0,739.0,[],1035.4806771278381,1035.1909999847412,0
67,c9eb0725-c482-4830-9d94-94f46e17c9fb,1648531141.7557719,1648532178.977,1648531142.7180002,1648532178.977,0,0,605.0,[],1037.2212281227112,1036.258999824524,0
68,54df709a-68b4-41e9-9390-555a7860cc0e,1648531185.876943,1648531716.873,1648531186.146,1648531716.873,0,0,403.0,[],530.9960567951202,530.7269999980927,0
69,2476dfc6-2df6-4cea-b6af-59f52ceff3e6,1648531228.641033,1648531496.437,1648531228.884,1648531496.437,0,0,260.0,[],267.7959671020508,267.5529999732971,0
70,f17bb501-aa19-4f89-acf3-59882ea7748f,1648531271.458324,1648531794.444,1648531271.936,1648531794.444,0,0,466.0,[],522.9856760501862,522.5079998970032,0
71,1e83590d-0b28-44e4-a088-6c8815c861ce,1648531314.318145,1648532347.812,1648531314.6,1648532347.812,0,0,618.0,[],1033.4938549995422,1033.212000131607,0
72,e1fc40ed-4fd5-4f48-af3f-4a52cb9ce273,1648531357.198184,1648532391.599,1648531357.548,1648532391.599,0,0,1027.0,[],1034.4008159637451,1034.050999879837,0
73,f4befa7d-5aab-425c-8af0-a714a4d0e437,1648531400.100938,1648531919.053,1648531400.468,1648531919.053,0,0,466.0,[],518.9520618915558,518.585000038147,0
74,d5987b88-10bd-4ec1-95b5-a2d08c96d215,1648531442.977618,1648531707.39,1648531443.3769999,1648531707.39,0,0,208.0,[],264.4123821258545,264.01300024986267,0
75,9f7513e5-acd6-4314-b7f0-7d527e1a1c3a,1648531485.9499362,1648532519.625,1648531486.191,1648532519.625,0,0,762.0,[],1033.6750638484955,1033.4340000152588,0
76,9df5f422-5c34-4739-9574-ebe52e27ddd1,1648531529.0659149,1648532564.146,1648531529.299,1648532564.146,0,0,557.0,[],1035.0800850391388,1034.8469998836517,0
