,action_id,start,end,Transfer_start,Transfer_end,PosTransfer_start,PosTransfer_end,Analyze_start,Analyze_end,Transfer2_start,Transfer2_end,Transfer1Result_bytes_transferred,Transfer2Result_bytes_transferred,total_bytes_transferred,funcx_task_ids,flow_runtime,Transfer_runtime,PosTransfer_runtime,Analyze_runtime,Transfer2_runtime,total_funcx_time
20,e60eb931-bb31-447b-8b84-8330997c68b1,1644518444.063796,1644519530.936,1644518444.2350001,1644518450.888,1644518450.8990002,1644518463.869,1644518463.879,1644519519.74,1644519519.767,1644519530.936,11207490,98228848,109436338,[],1086.8722040653229,6.6529998779296875,12.96999979019165,1055.8610000610352,11.169000148773193,1055.8610000610352
21,214753e5-43f5-4e7c-b632-51b44ccf7a06,1644518449.8196852,1644519523.423,1644518450.19,1644518453.856,1644518453.8700001,1644518458.836,1644518458.844,1644519515.635,1644519515.664,1644519523.423,11212474,98228840,109441314,[],1073.6033148765564,3.6659998893737793,4.9659998416900635,1056.7909998893738,7.759000062942505,1056.7909998893738
22,bc9f2319-f8cb-4c67-923a-5ffda8e3cafb,1644518455.4468858,1644519529.402,1644518455.8019998,1644518462.1430001,1644518462.1539998,1644518466.754,1644518466.763,1644519522.206,1644519522.233,1644519529.402,11207571,98228832,109436403,[],1073.9551141262054,6.341000318527222,4.6000001430511475,1055.4430000782013,7.168999910354614,1055.4430000782013
23,5770e067-1dbc-413e-8724-78392a108766,1644518467.5883641,1644519530.3209999,1644518467.764,1644518472.737,1644518472.747,1644518477.32,1644518477.329,1644519525.788,1644519525.816,1644519530.3209999,11208330,98228840,109437170,[],1062.7326357364655,4.9730000495910645,4.572999954223633,1048.4590001106262,4.504999876022339,1048.4590001106262
24,1e9eabc9-c779-4c5a-aab5-06a69bb26818,1644518468.130464,1644520151.051,1644518468.293,1644518474.85,1644518474.859,1644518480.02,1644518480.029,1644520144.5100002,1644520144.537,1644520151.051,11182477,98228776,109411253,[],1682.9205360412598,6.556999921798706,5.16100001335144,1664.4810001850128,6.514000177383423,1664.4810001850128
25,24a0dc13-da97-489f-8f51-54775bd4248a,1644518474.0428932,1644520147.665,1644518474.246,1644518478.544,1644518478.6620002,1644518484.988,1644518484.9980001,1644520142.742,1644520142.7859998,1644520147.665,11023904,96746448,107770352,[],1673.6221067905426,4.297999858856201,6.325999736785889,1657.7439999580383,4.879000186920166,1657.7439999580383
26,b827b5b6-11b4-422d-bc46-088625d4e55d,1644518479.709831,1644520165.401,1644518480.1030002,1644518484.315,1644518484.324,1644518489.926,1644518489.936,1644520155.589,1644520155.614,1644520165.401,11179584,98168832,109348416,[],1685.6911690235138,4.211999893188477,5.6020002365112305,1665.6529998779297,9.786999940872192,1665.6529998779297
27,dcac5eae-ebfd-421e-890c-6f1d7cfab239,1644518485.354978,1644520163.3630002,1644518485.677,1644518489.831,1644518489.84,1644518493.4329998,1644518493.442,1644520154.263,1644520154.29,1644520163.3630002,11230069,98168936,109399005,[],1678.008022069931,4.1540000438690186,3.5929999351501465,1660.8210000991821,9.073000192642212,1660.8210000991821
28,86244281-4cdc-48d5-a9c7-8b8ac2eb7cd9,1644518490.862599,1644520166.1009998,1644518491.039,1644518499.364,1644518499.374,1644518503.128,1644518503.1379998,1644520157.0579998,1644520157.0860002,1644520166.1009998,11234666,98168936,109403602,[],1675.2384009361267,8.325000047683716,3.753999948501587,1653.920000076294,9.014999628067017,1653.920000076294
29,ed8b73d0-6c25-46a1-b829-921471a9254f,1644518496.7618618,1644520175.185,1644518496.921,1644518501.5100002,1644518501.519,1644518507.2489998,1644518507.259,1644520167.0470002,1644520167.074,1644520175.185,11125966,98168728,109294694,[],1678.423138141632,4.589000225067139,5.729999780654907,1659.7880001068115,8.111000061035156,1659.7880001068115
30,209357d4-5825-4a61-8818-f7a701fbd3a6,1644518504.716912,1644520788.445,1644518505.068,1644518513.1539998,1644518513.161,1644518517.205,1644518517.2129998,1644520779.034,1644520779.064,1644520788.445,11221316,98109000,109330316,[],2283.728087902069,8.085999727249146,4.043999910354614,2261.821000099182,9.38100004196167,2261.821000099182
31,122820eb-a3cc-4782-8b13-c44d2041798d,1644518510.2529202,1644520807.444,1644518510.449,1644518520.125,1644518520.134,1644518524.563,1644518524.572,1644520791.6060002,1644520791.633,1644520807.444,11224139,98108992,109333131,[],2297.191079854965,9.676000118255615,4.428999900817871,2267.03400015831,15.811000108718872,2267.03400015831
32,09b26c2b-8ee8-42c4-9575-d53a58fed50b,1644518518.408729,1644520803.684,1644518518.792,1644518524.9550002,1644518524.966,1644518533.252,1644518533.264,1644520798.073,1644520798.1009998,1644520803.684,11122359,98108784,109231143,[],2285.2752709388733,6.163000106811523,8.28600001335144,2264.809000015259,5.583000183105469,2264.809000015259
33,f72fe461-1aea-426e-be25-d69cd5aab241,1644518524.911695,1644520814.687,1644518525.1169999,1644518529.498,1644518529.507,1644518535.47,1644518535.479,1644520806.1660001,1644520806.189,1644520814.687,11211555,98108992,109320547,[],2289.77530503273,4.38100004196167,5.963000059127808,2270.6870000362396,8.498000144958496,2270.6870000362396
34,43b6cab4-bd3b-4279-aef6-d20ad4c3d924,1644518530.588126,1644520810.007,1644518530.957,1644518536.296,1644518536.3100002,1644518540.053,1644518540.0649998,1644520800.043,1644520800.076,1644520810.007,11221255,98049080,109270335,[],2279.418874025345,5.33899998664856,3.742999792098999,2259.978000164032,9.930999994277954,2259.978000164032
35,5fc6db22-8aa9-485a-84c0-63357aa1174a,1644518539.2242339,1644520822.169,1644518539.56,1644518547.0,1644518547.0140002,1644518550.92,1644518550.937,1644520817.269,1644520817.3059998,1644520822.169,11213289,98049048,109262337,[],2282.9447660446167,7.440000057220459,3.9059998989105225,2266.332000017166,4.863000154495239,2266.332000017166
36,98ce13da-3c7a-4b82-b574-4c2e93f7b400,1644518545.085593,1644521428.707,1644518545.2489998,1644518551.701,1644518551.71,1644518556.1,1644518556.109,1644521417.048,1644521417.097,1644521428.707,11219521,98049072,109268593,[],2883.621407032013,6.452000141143799,4.389999866485596,2860.9390001296997,11.610000133514404,2860.9390001296997
37,783f17fd-b448-4bdd-a784-c9d19d906306,1644518550.7203698,1644521434.358,1644518551.297,1644518559.772,1644518559.782,1644518564.7500002,1644518564.7580001,1644521425.094,1644521425.119,1644521434.358,11235781,98049096,109284877,[],2883.637630224228,8.475000143051147,4.968000173568726,2860.3359999656677,9.239000082015991,2860.3359999656677
